OBJECTID,ISO,NAME_0,Continent,REgion
1,AGO,Angola,Africa,
2,ATF,French Southern Territories,Africa,
3,BDI,Burundi,Africa,Eastern_Africa
4,BEN,Benin,Africa,
5,BFA,Burkina Faso,Africa,
6,BWA,Botswana,Africa,
7,CAF,Central African Republic,Africa,
8,CIV,Côte d'Ivoire,Africa,
9,CMR,Cameroon,Africa,
10,COD,Democratic Republic of the Congo,Africa,
11,COG,Republic of Congo,Africa,
12,COM,Comoros,Africa,
13,CPV,Cape Verde,Africa,
14,DZA,Algeria,Africa,
15,EGY,Egypt,Africa,
16,ERI,Eritrea,Africa,Eastern_Africa
17,ESH,Western Sahara,Africa,
18,ETH,Ethiopia,Africa,Eastern_Africa
19,GAB,Gabon,Africa,
20,GHA,Ghana,Africa,
21,GIN,Guinea,Africa,
22,GMB,Gambia,Africa,
23,GNB,Guinea-Bissau,Africa,
24,GNQ,Equatorial Guinea,Africa,
25,KEN,Kenya,Africa,Eastern_Africa
26,LBR,Liberia,Africa,
27,LBY,Libya,Africa,
28,LSO,Lesotho,Africa,
29,MAR,Morocco,Africa,
30,MDG,Madagascar,Africa,
31,MLI,Mali,Africa,
32,MOZ,Mozambique,Africa,Southern Africa
33,MRT,Mauritania,Africa,
34,MUS,Mauritius,Africa,
35,MWI,Malawi,Africa,Southern Africa
36,MYT,Mayotte,Africa,
37,NAM,Namibia,Africa,
38,NER,Niger,Africa,
39,NGA,Nigeria,Africa,
40,REU,Reunion,Africa,
41,RWA,Rwanda,Africa,Eastern_Africa
42,SDN,Sudan,Africa,Eastern_Africa
43,SEN,Senegal,Africa,
44,SLE,Sierra Leone,Africa,
45,SOM,Somalia,Africa,Eastern_Africa
46,SSD,South Sudan,Africa,Eastern_Africa
47,STP,Sao Tome and Principe,Africa,
48,SWZ,Swaziland,Africa,
49,SYC,Seychelles,Africa,
50,TCD,Chad,Africa,
51,TGO,Togo,Africa,
52,TUN,Tunisia,Africa,
53,TZA,Tanzania,Africa,Eastern_Africa
54,UGA,Uganda,Africa,Eastern_Africa
55,ZAF,South Africa,Africa,
56,ZMB,Zambia,Africa,Southern Africa
57,ZWE,Zimbabwe,Africa,Southern Africa
